,ID,shoe_height,EC_Code,use_RF,Date,Day,Time,scores_differ_but_one,score_differs,Temp_True,SOQ1,SOQ2,SOQ3,SOQ4,SOQ5,SOQ6,SOQ7,SOQ8,Shoe_comfort,Intoxicated,Drinks,Weather,Temp_Think,Cold,Age,Race,Sex_Orient,Heightfeet,Heightinches,Weight,Openshoes,Barelegs,Arms,Shoulders,Cleavage,Openback,Midriff,No_jacket,Jean_rips,Judged_shoe_comfort,Clothes_RF,HG_shoes,SOQ1_R,SOQ2_R,SOQ3_R,SOQ4_R,SOQ7_R,SOQ8_R,Self_Obj,height.just.inches,BMI,filter_$,use_RF_coded,test_1,combined_filter,full_SO,Zshoe_height,white
30,289,1,1,NA,1052832:00:00,1,10:24:00.000000,1,1,52,2,3,4,3,3,3,4,3,2,3,2,1,53,3,22,1,1,5,3,NA,0,0,0,0,0,0,0,1,0,3,1,3,5,4,3,4,3,4,3.625,63,NA,NA,NA,NA,NA,3.625,NA,1
31,169,2,1,1,1052832:00:00,1,11:21:00.000000,1,1,50,3,2,2,2,2,4,3,3,1,1,0,1,58,2,24,4,1,5,1,103,0,0,1,0,1,0,0,1,0,1,3,1,4,5,5,5,4,4,4.125,61,19.4595538833647,1,NA,NA,1,4.125,0.90628087767522,0
32,205,2,1,1,1052832:00:00,1,11:21:00.000000,1,1,50,2,3,3,2,5,6,4,4,6,1,0,1,50,5,27,8,1,5,6,190,1,1,1,0,0,0,0,1,0,2,4,2,5,4,4,5,3,3,4.375,66,30.6634527089073,1,NA,NA,1,4.375,0.90628087767522,0
33,208,2,1,1,1052832:00:00,1,10:31:00.000000,1,1,52,2,4,2,2,5,5,2,3,4,4,3,1,60,2,23,5,1,5,2,126,0,0,0,0,0,0,0,1,0,3,1,2,5,3,5,5,5,4,4.625,62,23.0431841831426,1,NA,NA,1,4.625,0.90628087767522,0
34,74,3,1,1,1052832:00:00,1,11:49:00.000000,1,1,50,1,5,3,3,4,1,2,3,2,2,2,1,65,2,22,7,1,4,3,130,0,0,0,0,1,0,0,1,1,1,3,2,6,2,4,4,5,4,3.75,51,35.1364859669358,1,NA,NA,1,3.75,2.44524840580295,0
35,111,3,1,1,1052832:00:00,1,11:21:00.000000,1,1,50,4,6,5,6,1,3,5,5,3,1,3,1,58,4,25,1,1,5,5,136,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,1,2,2,1.875,65,22.6291124260355,1,NA,NA,1,1.875,2.44524840580295,1
36,204,3,1,1,1052832:00:00,1,11:30:00.000000,1,1,50,3,3,5,3,5,5,2,1,5,2,0,1,58,1,20,5,NA,5,2,NA,1,1,0,0,0,0,0,1,0,1,3,1,4,4,2,4,5,6,4.375,62,NA,NA,NA,NA,1,4.375,NA,0
37,165,NA,0,0,1052856:00:00,2,10:01:00.000000,0,0,58,3,3,3,3,3,3,3,3,1,5,7,1,60,3,27,5,1,5,7,201,NA,0,1,1,0,0,0,0,0,2,2,NA,4,4,4,4,4,4,3.75,67,31.4776119402985,0,1,1,NA,3.75,NA,0
38,28,1,1,1,1052856:00:00,2,10:08:00.000000,1,1,57,1,1,1,1,6,6,1,1,5,3,6,1,62,4,27,1,3,5,2,190,0,0,0,0,0,0,0,0,0,3,0,3,6,6,6,6,6,6,6,62,34.7476586888658,1,NA,NA,1,6,-0.632686650452512,1
39,29,1,1,1,1052856:00:00,2,10:24:00.000000,1,1,56,1,6,1,1,6,2,6,1,6,2,2,1,57,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,3,0,3,6,1,6,6,1,6,4.25,NA,NA,NA,NA,NA,1,4.25,NA,0
40,30,1,1,1,1052856:00:00,2,11:00:00.000000,1,1,56,5,3,3,2,3,2,6,3,6,1,0,1,60,3,20,2,1,5,7,125,0,1,0,0,0,0,0,0,0,3,1,3,2,4,4,5,1,4,3.125,67,19.575629316106,1,NA,NA,1,3.125,-0.632686650452512,0
41,31,1,1,1,1052856:00:00,2,11:05:00.000000,1,1,56,1,6,3,2,6,6,1,2,6,4,6,1,65,1,20,2,1,6,1,185,0,1,0,0,1,0,1,1,0,3,4,2,6,1,4,5,6,5,4.875,73,24.4051416776131,1,NA,NA,1,4.875,-0.632686650452512,0
