Word,Number of morphemes,Number of Letters,Number of Syllables,Number of Phonemes,Orthographic N,OLD20,PN_Std,PLD20_Std,PN_Singapore,PLD20_Singapore,PN_NonStd,PLD_NonStd,freq_singapore/million,lg_freq_singapore,freq_malaysia/million,lg_freq_malaysia,LDT_RT,LDT_ACC,NMG_RT,NMG_ACC
melawan,2,7,3,7,5,1.7500,5,1.7500,5,1.7500,5,1.7500,41.40,1.63,23.36,1.39,,,,
melawat,2,7,3,7,7,1.6000,8,1.6000,8,1.6000,8,1.6000,140.40,2.15,33.64,1.54,,,,
melawati,2,8,4,8,1,2.2000,1,2.4000,1,2.4000,1,2.4000,0.80,0.26,2.80,0.58,,,,
melayak,2,7,3,7,4,1.8000,5,1.7500,5,1.7500,5,1.7500,0.00,0.00,0.93,0.29,,,,
melayakkan,2,10,4,10,1,2.4000,2,2.1500,2,2.1500,2,2.2500,42.80,1.64,87.38,1.95,729.5750,0.9091,543.6410,0.8864
melayan,2,7,3,7,4,1.7000,5,1.7500,5,1.7500,5,1.7500,33.00,1.53,31.78,1.52,,,,
melayang,2,8,3,7,3,1.8000,4,1.8000,4,1.8000,4,1.8000,8.80,0.99,3.74,0.68,,,,
melayangkan,2,11,4,10,2,2.4000,4,1.9500,4,1.9500,4,2.0500,8.00,0.95,13.08,1.15,709.3810,0.9545,540.5366,0.9318
melayani,2,8,4,8,2,2.3000,1,2.6000,1,2.6000,1,2.6000,14.60,1.19,15.42,1.22,,,,
melayari,2,8,4,8,2,2.3000,2,2.4000,2,2.4000,2,2.4000,12.60,1.13,14.49,1.19,,,,
melayarkan,2,10,4,10,2,2.0500,3,1.9000,3,1.9000,3,2.0000,0.60,0.20,0.47,0.17,695.5500,0.9091,546.0714,0.9545
melayu,1,6,3,6,1,1.9500,1,1.9500,1,1.9500,1,1.9500,"2,637.60",3.42,486.92,2.69,,,,
melebam,2,7,3,7,1,2.3000,0,2.3000,0,2.3000,0,2.3000,0.00,0.00,0.47,0.17,,,,
melebar,2,7,3,7,2,2.0000,0,2.3500,0,2.3500,0,2.3500,7.20,0.91,2.80,0.58,,,,
melebarkan,2,10,4,10,1,1.9500,0,2.4500,0,2.4500,0,2.5500,11.40,1.09,50.93,1.72,710.0476,0.9545,597.6842,0.8636
melebih,2,7,3,7,0,2.5000,0,2.6000,0,2.5500,0,2.5500,1.40,0.38,2.80,0.58,,,,
melebihi,2,8,4,8,0,3.1500,0,3.3000,0,3.3000,0,3.3000,158.60,2.20,85.05,1.93,,,,
melebihkan,2,10,4,10,1,2.5000,1,2.6000,1,2.5500,1,2.5500,3.20,0.62,0.47,0.17,,,,
melebur,2,7,3,7,3,1.9500,2,2.0000,2,2.0500,2,2.0500,1.00,0.30,4.67,0.75,,,,
meleburkan,2,10,4,10,2,2.4000,1,2.4500,1,2.7000,1,2.7000,1.80,0.45,3.74,0.68,783.1515,0.7500,580.6829,0.9318
melecehkan,2,10,4,10,0,2.7000,0,2.9000,0,2.7500,0,2.7500,1.20,0.34,0.93,0.29,727.3590,0.8864,543.5854,0.9318
melecur,2,7,3,7,1,2.4500,1,2.4500,1,2.4500,1,2.4500,4.20,0.72,0.93,0.29,,,,
meledak,2,7,3,7,3,1.9500,2,2.2500,2,2.2500,2,2.2500,9.80,1.03,21.96,1.36,,,,
meledakkan,2,10,4,10,1,2.0500,1,2.2500,1,2.2500,1,2.3500,3.40,0.64,24.30,1.40,801.8125,0.7273,564.3000,0.6818
melegakan,2,9,4,9,3,1.8500,1,1.9500,1,1.9500,0,2.5000,25.40,1.42,19.63,1.31,,,,
melekakan,2,9,4,9,4,1.7500,2,2.2000,2,2.2000,2,2.5000,1.00,0.30,1.40,0.38,,,,
melekapkan,2,10,4,10,1,1.9000,1,1.9000,1,1.9000,1,1.9500,0.60,0.20,0.93,0.29,,,,
melekat,2,7,3,7,1,1.9500,1,1.9500,1,1.9500,1,1.9500,25.00,1.41,5.61,0.82,,,,
melelahkan,2,10,4,10,2,1.9000,2,1.9000,2,1.9000,2,1.9000,0.40,0.15,0.93,0.29,,,,
melelapkan,2,10,4,10,2,1.9000,2,2.0000,2,2.0000,2,2.0500,4.80,0.76,0.47,0.17,,,,
meleleh,2,7,3,7,0,2.6500,0,2.6000,0,2.3500,0,2.3500,3.00,0.60,1.40,0.38,,,,
melelong,2,8,3,7,0,2.8000,0,2.7500,0,2.6000,0,2.6000,2.80,0.58,1.40,0.38,,,,
melelongkan,2,11,4,10,0,2.8500,0,2.8000,0,2.7000,0,2.7000,1.80,0.45,2.34,0.52,852.1071,0.6364,619.7442,0.9773
melemahkan,2,10,4,10,2,1.9000,2,1.9000,2,1.9000,2,1.9000,22.80,1.38,13.55,1.16,,,,
melemaskan,2,10,4,10,2,1.9000,3,2.0500,3,2.0500,3,2.1000,0.40,0.15,0.47,0.17,,,,
melembapkan,2,11,4,11,0,2.4500,0,2.5000,0,2.5000,0,2.5000,5.20,0.79,2.34,0.52,823.0303,0.7500,619.8205,0.8864
melembut,2,8,3,8,0,2.7000,0,2.7000,0,2.7500,0,2.7500,0.20,0.08,0.47,0.17,,,,
melembutkan,2,11,4,11,0,2.7500,0,2.7500,0,2.9000,0,2.9000,7.80,0.94,1.87,0.46,644.7045,1.0000,590.1905,0.9545
melempar,2,8,3,8,1,2.2500,1,2.5000,1,2.5000,1,2.5000,3.00,0.60,0.47,0.17,,,,
melemparkan,2,11,4,11,0,2.6000,0,2.8500,0,2.8500,0,2.8500,8.20,0.96,4.21,0.72,723.9500,0.9091,605.3095,0.9545
melenakan,2,9,4,9,3,1.8500,1,2.2500,1,2.2500,1,2.5500,0.00,0.00,0.47,0.17,,,,
melencong,2,9,3,8,1,2.7000,1,2.9000,1,2.6500,1,2.6500,3.00,0.60,9.81,1.03,,,,
melencongkan,2,12,4,11,0,3.4000,0,3.4500,0,3.1000,0,3.1000,0.00,0.00,2.34,0.52,,,,
melendut,2,8,3,8,0,2.8500,0,2.9000,0,2.9000,0,2.9000,1.40,0.38,0.47,0.17,,,,
melengah,2,8,3,7,1,2.5000,0,2.5500,0,2.4500,0,2.4500,0.00,0.00,0.47,0.17,,,,
melengahkan,2,11,4,10,0,2.6000,0,2.5500,0,2.5000,0,2.6000,3.60,0.66,3.74,0.68,,,,
melengkapi,2,10,4,9,0,2.9500,0,2.8500,0,2.8500,0,2.8500,37.00,1.58,3.27,0.63,,,,
melengkapkan,2,12,4,11,0,2.9500,0,2.6000,0,2.6000,0,2.6000,27.60,1.46,92.06,1.97,,,,
melengkung,2,10,3,8,0,3.1500,0,2.9000,0,3.1000,0,3.1000,1.80,0.45,0.93,0.29,,,,
melenting,2,9,3,8,0,2.7500,0,2.7000,0,2.7500,0,2.7500,6.00,0.85,7.01,0.90,,,,
melentok,2,8,3,8,0,2.8000,0,2.9000,0,2.7000,0,2.7000,0.60,0.20,0.47,0.17,,,,
melentur,2,8,3,8,0,2.4500,0,2.4500,0,2.4500,0,2.4500,4.20,0.72,1.40,0.38,,,,
melenturkan,2,11,4,11,0,2.7000,0,2.6500,0,2.8500,0,2.8500,3.20,0.62,0.47,0.17,,,,
melenyapkan,2,11,4,11,0,2.7000,0,2.8000,0,2.8000,0,2.8000,10.80,1.07,8.88,0.99,,,,
melepak,2,7,3,7,3,1.8500,0,2.1000,0,2.0500,0,2.0500,9.00,1.00,4.21,0.72,,,,
melepas,2,7,3,7,3,1.8000,2,1.8500,2,1.8500,2,1.8500,0.60,0.20,3.74,0.68,,,,
