Word,Number of morphemes,Number of Letters,Number of Syllables,Number of Phonemes,Orthographic N,OLD20,PN_Std,PLD20_Std,PN_Singapore,PLD20_Singapore,PN_NonStd,PLD_NonStd,freq_singapore/million,lg_freq_singapore,freq_malaysia/million,lg_freq_malaysia,LDT_RT,LDT_ACC,NMG_RT,NMG_ACC
cuma,1,4,2,4,2,1.9000,2,1.9000,2,1.9000,2,1.9000,203.60,2.31,307.01,2.49,,,,
cungap,1,6,2,5,0,2.7000,1,2.0500,1,2.0500,1,2.2000,0.00,0.00,0.47,0.17,,,,
cungkil,1,7,2,6,0,2.8500,0,2.7500,0,2.6500,0,2.6500,2.40,0.53,0.93,0.29,,,,
cup,1,3,1,3,2,1.9000,2,1.9000,4,1.7000,4,1.7000,0.00,0.00,7.01,0.90,,,,
curah,1,5,2,5,5,1.7500,6,1.7000,6,1.7000,6,1.7000,1.80,0.45,1.40,0.38,,,,
curahan,2,7,3,7,1,2.2500,1,2.3500,1,2.3500,1,2.4000,3.00,0.60,3.27,0.63,,,,
curam,1,5,2,5,3,1.8500,4,1.8000,4,1.8000,4,1.8000,4.40,0.73,4.67,0.75,,,,
curang,1,6,2,5,2,1.9000,4,1.8000,4,1.8000,4,1.8000,10.80,1.07,0.47,0.17,,,,
curi,1,4,2,4,11,1.4500,10,1.5000,10,1.5000,10,1.5000,18.60,1.29,4.67,0.75,532.4318,1.0000,493.6098,0.9318
curiga,1,6,3,6,0,2.8000,0,2.8000,0,2.8000,0,3.0500,10.00,1.04,3.27,0.63,613.8095,0.9545,501.2143,0.9545
cuti,1,4,2,4,3,1.8500,2,1.9000,2,1.9000,2,1.9000,164.20,2.22,65.89,1.83,,,,
dabik,1,5,2,5,3,1.8500,3,1.8500,3,1.8500,3,1.8500,0.00,0.00,0.93,0.29,,,,
dabir,1,5,2,5,3,1.8500,3,1.8500,3,1.8500,3,1.8500,0.00,0.00,0.47,0.17,,,,
dabus,1,5,2,5,2,1.9000,2,1.9000,2,1.9000,2,1.9000,0.00,0.00,1.40,0.38,,,,
dacing,1,6,2,5,3,1.8000,4,1.8000,5,1.7500,5,1.7500,0.00,0.00,0.47,0.17,,,,
dada,1,4,2,4,8,1.5000,8,1.4500,8,1.4500,8,1.5000,103.80,2.02,32.71,1.53,567.0500,0.9091,481.5122,0.9318
dadah,1,5,2,5,6,1.6500,6,1.6500,6,1.6500,6,1.7000,207.60,2.32,50.93,1.72,,,,
daerah,1,6,3,6,0,1.9500,0,2.1500,0,2.1500,0,2.2000,131.60,2.12,48.60,1.70,,,,
daftar,1,6,2,6,0,2.5000,0,2.4500,0,2.4500,0,2.4500,21.20,1.35,1.87,0.46,568.8837,0.9773,477.5814,0.9773
dagang,1,6,2,5,5,1.7500,5,1.7500,5,1.7500,5,1.7500,22.00,1.36,16.36,1.24,,,,
dagangan,2,8,3,7,0,2.3000,0,2.0000,0,2.0000,0,2.0000,175.40,2.25,489.72,2.69,,,,
daging,1,6,2,5,3,1.8000,5,1.7500,5,1.7500,5,1.7500,184.00,2.27,18.22,1.28,,,,
dagu,1,4,2,4,6,1.7000,6,1.7000,6,1.7000,6,1.7000,4.00,0.70,0.93,0.29,,,,
dah,1,3,1,3,12,1.3500,14,1.2500,14,1.2500,14,1.2500,281.80,2.45,40.19,1.61,,,,
dahaga,1,6,3,6,0,2.3500,0,2.4000,0,2.4000,0,2.5000,14.80,1.20,2.34,0.52,,,,
daham,1,5,2,5,5,1.7500,6,1.7000,6,1.7000,6,1.7000,0.00,0.00,0.47,0.17,,,,
dahan,1,5,2,5,4,1.8000,4,1.8000,4,1.8000,4,1.8000,10.20,1.05,2.34,0.52,,,,
dahar,1,5,2,5,9,1.5500,9,1.5500,9,1.5500,9,1.5500,0.00,0.00,9.35,1.01,,,,
dahi,1,4,2,4,5,1.7000,5,1.7000,5,1.7000,4,1.7500,11.40,1.09,1.87,0.46,,,,
dahsyat,1,7,2,6,0,3.0000,0,2.5000,0,2.5000,0,2.5000,16.80,1.25,4.67,0.75,,,,
dahulu,1,6,3,6,0,2.9000,0,2.9000,0,2.9000,0,2.9000,297.00,2.47,38.32,1.59,536.1395,0.9773,481.6047,0.9773
daif,1,4,2,4,1,1.9500,0,2.0000,0,2.0000,0,2.0000,15.80,1.23,3.27,0.63,,,,
daing,1,5,2,5,1,1.7500,6,1.7000,6,1.7000,6,1.7000,0.00,0.00,0.93,0.29,,,,
dak,1,3,1,3,16,1.1000,18,1.0000,18,1.0000,18,1.0000,2.20,0.51,0.47,0.17,,,,
dakap,1,5,2,5,3,1.8500,3,1.8500,3,1.8500,3,1.8500,1.00,0.30,0.93,0.29,,,,
dakapan,2,7,3,7,0,2.0000,0,2.0000,0,2.0000,0,2.0000,6.00,0.85,5.14,0.79,,,,
dakar,1,5,2,5,10,1.4500,10,1.4500,10,1.4500,10,1.4500,0.20,0.08,2.34,0.52,839.0000,0.1136,472.5366,0.9318
daki,1,4,2,4,10,1.4500,10,1.4500,10,1.4500,10,1.4500,1.60,0.41,0.47,0.17,,,,
daku,1,4,2,4,9,1.4500,9,1.4500,9,1.4500,9,1.4500,4.20,0.72,3.27,0.63,,,,
dakwa,1,5,2,5,0,1.9000,0,1.9000,0,1.9000,0,2.0000,12.60,1.13,4.67,0.75,,,,
dakwaan,2,7,3,7,0,2.7000,0,2.7000,0,2.7000,0,2.8500,64.60,1.82,39.72,1.61,,,,
dakwah,1,6,2,6,1,2.2000,1,2.2000,1,2.2000,1,2.2500,40.20,1.61,10.28,1.05,,,,
dakwat,1,6,2,6,1,1.9000,1,1.9000,1,1.9000,1,1.9500,5.80,0.83,0.47,0.17,,,,
dal,1,3,1,3,11,1.4000,12,1.4000,12,1.4000,12,1.4000,2.80,0.58,0.93,0.29,,,,
dalam,1,5,2,5,5,1.7000,7,1.6000,7,1.6000,7,1.6000,"12,513.40",4.10,"9,133.18",3.96,565.8864,1.0000,470.5349,0.9773
dalaman,2,7,3,7,1,1.9500,0,2.0000,0,2.0000,0,2.0000,59.40,1.78,57.48,1.77,,,,
dalang,1,6,2,5,14,1.2500,15,1.2000,15,1.2000,15,1.2000,12.00,1.11,5.14,0.79,,,,
dali,1,4,2,4,13,1.2000,13,1.2000,13,1.3500,13,1.3500,6.40,0.87,7.48,0.93,,,,
dalik,1,5,2,5,3,1.7500,4,1.7000,4,1.7500,4,1.7500,0.00,0.00,0.93,0.29,,,,
dalil,1,5,2,5,1,1.9000,2,1.8500,2,1.9000,2,1.9000,10.00,1.04,0.47,0.17,,,,
daling,1,6,2,5,6,1.6500,10,1.4500,10,1.5000,10,1.5000,0.00,0.00,0.47,0.17,,,,
dam,1,3,1,3,10,1.3000,12,1.3000,12,1.3000,12,1.3000,0.00,0.00,0.93,0.29,,,,
damai,1,5,2,4,3,1.8000,2,1.9000,2,1.9000,2,1.9000,69.60,1.85,20.56,1.33,,,,
damak,1,5,2,5,5,1.7500,5,1.7500,5,1.7500,5,1.7500,4.40,0.73,1.40,0.38,,,,
damar,1,5,2,5,10,1.4500,10,1.4500,10,1.4500,10,1.4500,0.40,0.15,0.93,0.29,722.5714,0.1591,513.8333,0.9545
dami,1,4,2,4,8,1.5000,9,1.5500,9,1.5500,9,1.5500,0.00,0.00,1.40,0.38,,,,
damping,1,7,2,6,1,2.3500,1,2.1500,1,2.2500,1,2.2500,0.00,0.00,0.93,0.29,,,,
dana,1,4,2,4,12,1.3500,12,1.4000,12,1.4000,6,1.7000,587.20,2.77,348.13,2.54,,,,
danau,1,5,2,4,0,1.9500,1,1.9500,1,1.9500,1,1.9500,1.00,0.30,2.80,0.58,676.4000,0.6818,510.8636,1.0000
dandan,1,6,2,6,2,1.8500,4,1.8000,4,1.8000,4,1.8000,1.00,0.30,0.93,0.29,718.0833,0.8182,531.1951,0.9318
dandanan,2,8,3,8,0,2.4500,0,2.5500,0,2.5500,0,2.6000,12.40,1.13,6.54,0.88,,,,
dandang,1,7,2,6,7,1.6000,9,1.5500,9,1.5500,9,1.5500,0.00,0.00,0.47,0.17,,,,
dang,1,4,1,3,11,1.3500,17,1.1000,17,1.1000,17,1.1000,8.40,0.97,4.21,0.72,,,,
dangdut,1,7,2,6,0,2.9500,0,2.9000,0,2.9000,0,2.9000,18.20,1.28,13.55,1.16,,,,
dangkal,1,7,2,6,2,1.9000,2,1.9000,2,1.9000,2,1.9000,1.00,0.30,2.34,0.52,,,,
dapat,1,5,2,5,2,1.9000,2,1.9000,2,1.9000,2,1.9000,"3,194.80",3.50,"1,469.63",3.17,515.3409,1.0000,460.6047,0.9773
dapur,1,5,2,5,1,1.9500,1,1.9500,2,1.9000,2,1.9000,165.40,2.22,7.01,0.90,,,,
dar,1,3,1,3,10,1.3000,11,1.4000,11,1.4000,11,1.4000,5.00,0.78,0.93,0.29,,,,
dara,1,4,2,4,16,1.0000,16,1.0000,16,1.0000,15,1.1500,25.00,1.41,21.96,1.36,,,,
darah,1,5,2,5,6,1.5000,6,1.5500,6,1.5500,6,1.6000,248.00,2.40,25.70,1.43,,,,
darat,1,5,2,5,6,1.6000,7,1.6000,7,1.6000,7,1.6500,61.00,1.79,9.81,1.03,549.3500,0.9091,494.7045,1.0000
daratan,2,7,3,7,0,2.0000,0,2.0000,0,2.0000,0,2.0000,4.00,0.70,3.27,0.63,,,,
dari,1,4,2,4,19,1.0000,19,1.0000,19,1.0000,19,1.0000,"3,388.20",3.53,"3,197.66",3.50,,,,
daripada,2,8,4,8,0,3.9500,0,3.7500,0,3.7500,0,3.7500,"5,286.40",3.72,"2,831.78",3.45,,,,
darjah,1,6,2,6,1,1.9000,1,2.2500,1,2.2500,1,2.2500,258.80,2.41,17.29,1.26,,,,
darjat,1,6,2,6,1,2.1500,1,2.4500,1,2.4500,1,2.4500,10.00,1.04,8.41,0.97,614.1905,0.9545,492.7619,0.9545
daru,1,4,2,4,11,1.4000,11,1.4500,11,1.4500,11,1.4500,0.20,0.08,0.93,0.29,,,,
darurat,1,7,3,7,0,2.8500,0,2.9500,0,2.9500,0,2.9500,16.60,1.25,0.47,0.17,,,,
das,1,3,1,3,11,1.4500,13,1.3500,13,1.3500,12,1.3500,5.60,0.82,1.87,0.46,,,,
dasar,1,5,2,5,7,1.6000,7,1.6000,7,1.6000,7,1.6000,256.80,2.41,90.65,1.96,597.8864,1.0000,473.7143,0.9545
dat,1,3,1,3,8,1.4500,12,1.3000,12,1.3000,12,1.3000,0.60,0.20,0.47,0.17,,,,
datang,1,6,2,5,6,1.7000,8,1.6000,8,1.6000,8,1.6000,587.40,2.77,314.95,2.50,,,,
datar,1,5,2,5,6,1.6500,7,1.6000,7,1.6000,7,1.6000,3.20,0.62,0.47,0.17,,,,
dataran,2,7,3,7,0,2.0000,0,2.0000,0,2.0000,0,2.0000,4.00,0.70,41.59,1.63,,,,
datin,1,5,2,5,1,1.9500,5,1.7500,5,1.7500,5,1.7500,18.40,1.29,46.26,1.67,,,,
dato,1,4,2,4,1,1.9000,1,1.9500,1,1.9000,1,1.9000,10.80,1.07,7.01,0.90,,,,
datu,1,4,2,4,7,1.5500,7,1.6000,7,1.6500,7,1.6500,0.60,0.20,9.35,1.01,,,,
datuk,1,5,2,5,2,1.8500,2,1.8500,2,1.8500,2,1.8500,356.00,2.55,901.87,2.96,,,,
daulat,1,6,2,5,0,2.2500,0,2.0000,0,2.0000,0,2.0000,1.00,0.30,4.21,0.72,,,,
daun,1,4,2,5,1,1.9500,1,1.9500,1,1.9500,1,1.9500,116.00,2.07,11.21,1.09,,,,
daya,1,4,2,4,9,1.5500,10,1.4500,10,1.4500,11,1.4500,272.20,2.44,91.12,1.96,,,,
dayang,1,6,2,5,11,1.4000,12,1.3000,12,1.3000,12,1.3500,28.20,1.47,90.65,1.96,,,,
debar,1,5,2,5,3,1.8500,3,1.8500,3,1.8500,3,1.8500,3.00,0.60,0.93,0.29,,,,
debaran,2,7,3,7,3,1.8500,1,2.1000,1,2.1000,1,2.1500,9.40,1.02,20.09,1.32,,,,
debat,1,5,2,5,7,1.6500,2,1.9000,2,1.9000,2,1.9000,4.80,0.76,3.27,0.63,,,,
debu,1,4,2,4,3,1.8500,3,1.8500,3,1.8500,3,1.8500,9.00,1.00,0.93,0.29,,,,
dedah,1,5,2,5,4,1.8000,4,1.8000,4,1.8000,4,1.8000,37.00,1.58,3.27,0.63,593.9512,0.9318,521.6000,0.9091
degil,1,5,2,5,1,2.3000,1,2.3000,1,2.6500,1,2.6500,19.60,1.31,0.93,0.29,,,,
degupan,2,7,3,7,0,2.7000,0,2.7000,0,2.8500,0,2.8500,13.00,1.15,0.47,0.17,,,,
dek,1,3,1,3,6,1.7000,6,1.7000,6,1.6500,6,1.6500,134.40,2.13,10.75,1.07,,,,
dekan,1,5,2,5,6,1.7000,6,1.7000,6,1.7000,6,1.7000,0.00,0.00,1.40,0.38,,,,
dekat,1,5,2,5,6,1.7000,6,1.6500,6,1.6500,6,1.6500,266.00,2.43,71.03,1.86,,,,
delapan,2,7,3,7,1,1.9500,1,1.9500,1,1.9500,1,1.9500,1.20,0.34,0.93,0.29,,,,
delima,1,6,3,6,1,2.3500,1,2.3000,1,2.3000,0,2.9000,5.00,0.78,5.14,0.79,,,,
demam,1,5,2,5,1,1.9500,4,1.8000,4,1.8000,4,1.8000,88.00,1.95,38.32,1.59,,,,
deman,1,5,2,5,8,1.5500,6,1.7000,6,1.7000,6,1.7000,6.60,0.88,4.21,0.72,,,,
demang,1,6,2,5,4,1.7500,4,1.8000,4,1.8000,4,1.8000,0.80,0.26,1.87,0.46,,,,
demi,1,4,2,4,2,1.8500,2,1.8500,2,1.8500,2,1.8500,564.60,2.75,187.38,2.28,,,,
demikian,1,8,4,9,0,2.9500,0,3.4500,0,3.7000,0,3.7000,551.00,2.74,160.28,2.21,,,,
demis,1,5,2,5,0,1.9500,0,1.9500,0,2.2500,0,2.2500,0.00,0.00,0.47,0.17,,,,
den,1,3,1,3,2,1.9000,1,1.9500,2,1.9000,2,1.9000,0.00,0.00,35.05,1.56,,,,
denda,1,5,2,5,3,1.8000,2,1.8000,2,1.8000,0,2.4500,62.00,1.80,14.49,1.19,,,,
dendam,1,6,2,6,2,1.9000,3,1.8500,3,1.8500,3,2.0000,21.20,1.35,42.99,1.64,,,,
dendang,1,7,2,6,6,1.6500,8,1.5500,8,1.5500,8,1.6000,0.00,0.00,6.07,0.85,,,,
dendangan,2,9,3,8,1,2.5000,0,2.7500,0,2.7500,0,2.7500,14.40,1.19,43.46,1.65,,,,
dengar,1,6,2,5,0,2.0500,1,1.9500,1,1.9500,1,1.9500,161.60,2.21,36.45,1.57,,,,
dengki,1,6,2,5,0,2.8000,0,2.4500,0,2.5000,0,2.5000,6.80,0.89,5.61,0.82,,,,
dengkuran,2,9,3,8,0,2.9500,0,2.9000,0,2.9500,0,2.9500,0.80,0.26,0.47,0.17,,,,
dentuman,2,8,3,8,0,2.7500,0,2.8000,0,2.8500,0,2.8500,5.20,0.79,0.93,0.29,,,,
depa,1,4,2,4,2,1.8500,2,1.8000,2,1.8000,1,1.8500,0.00,0.00,1.40,0.38,,,,
depan,1,5,2,5,4,1.7000,4,1.7500,4,1.7500,4,1.7500,834.00,2.92,"1,070.09",3.03,,,,
depang,1,6,2,5,3,1.8000,4,1.7500,4,1.7500,4,1.7500,0.00,0.00,1.87,0.46,"1,034.5000",0.0455,573.4048,0.9545
dera,1,4,2,4,6,1.6000,5,1.7000,5,1.7000,4,1.8000,7.20,0.91,1.40,0.38,,,,
deraan,2,6,3,6,1,1.9000,0,2.0000,0,2.0000,0,2.3500,0.80,0.26,0.47,0.17,,,,
deraian,2,7,3,7,1,1.9000,0,2.5500,0,2.5500,0,2.5500,3.40,0.64,0.47,0.17,,,,
deras,1,5,2,5,5,1.7000,5,1.7000,5,1.7000,5,1.7500,10.80,1.07,33.64,1.54,,,,
derek,1,5,2,5,0,2.0000,0,2.2500,0,2.0000,0,2.0000,2.20,0.51,1.87,0.46,,,,
deretan,2,7,3,7,0,2.4000,0,2.9000,0,2.8000,0,2.8000,9.00,1.00,12.15,1.12,,,,
deringan,2,8,3,7,0,2.2000,0,2.0000,0,2.2500,0,2.2500,4.80,0.76,0.93,0.29,,,,
derita,1,6,3,6,2,2.0500,2,2.2500,2,2.3500,2,2.4000,10.00,1.04,15.42,1.22,,,,
derma,1,5,2,5,0,1.9500,0,2.2000,0,2.2000,0,2.5000,144.60,2.16,11.21,1.09,,,,
dermaga,1,7,3,7,0,2.6000,0,2.6500,0,2.6500,0,3.0000,7.80,0.94,17.76,1.27,,,,
deru,1,4,2,4,4,1.7500,4,1.7500,4,1.8000,4,1.8000,0.00,0.00,0.47,0.17,,,,
deruan,2,6,3,7,3,1.8000,3,2.1500,3,2.2000,3,2.2000,0.40,0.15,0.93,0.29,,,,
deruman,2,7,3,7,0,2.2500,1,2.3500,1,2.5000,1,2.5000,1.40,0.38,1.87,0.46,,,,
derus,1,5,2,5,3,1.8000,3,1.8000,3,1.8500,3,1.8500,0.20,0.08,7.48,0.93,,,,
desa,1,4,2,4,4,1.6500,2,1.8500,2,1.8500,1,1.9000,37.20,1.58,29.44,1.48,612.4524,0.9545,490.3250,0.9091
desak,1,5,2,5,2,1.8500,2,1.9000,2,1.9000,2,1.9000,1.00,0.30,0.93,0.29,645.0488,0.9318,491.6500,0.9091
desakan,2,7,3,7,0,2.0500,0,2.3500,0,2.3500,0,2.4500,13.20,1.15,9.81,1.03,,,,
desas,1,5,2,5,3,1.8000,3,1.8500,3,1.8500,3,1.8500,0.40,0.15,0.93,0.29,765.4667,0.6818,551.8056,0.8182
desas-desus,1,11,4,10,0,6.8500,0,5.9000,0,5.9000,0,5.8500,12.40,1.13,10.28,1.05,,,,
desus,1,5,2,5,2,2.0500,2,2.0000,2,2.2000,2,2.2000,0.60,0.20,0.93,0.29,,,,
detik,1,5,2,5,2,1.9000,2,1.9000,2,1.9000,2,1.9000,52.60,1.73,151.40,2.18,,,,
dewal,1,5,2,5,1,1.9500,1,1.9500,1,1.9500,1,2.1000,0.00,0.00,1.40,0.38,,,,
dewan,1,5,2,5,4,1.7500,2,1.9000,2,1.9000,2,1.9000,404.20,2.61,136.92,2.14,,,,
dewana,1,6,3,6,1,2.1000,1,2.7000,1,2.7000,0,2.8000,0.60,0.20,0.47,0.17,,,,
dewasa,1,6,3,6,1,2.3500,1,2.5500,1,2.5500,0,2.6000,171.60,2.24,34.58,1.55,534.4545,1.0000,497.6429,0.9545
dewi,1,4,2,4,1,1.9000,1,1.9000,1,1.9000,1,1.9000,16.60,1.25,19.63,1.31,,,,
dia,1,3,2,4,7,1.4500,5,1.6000,5,1.6000,4,1.7500,"1,459.40",3.16,"2,620.09",3.42,586.0465,0.9773,486.0698,0.9773
diam,1,4,2,5,2,1.7500,2,1.8500,2,1.8500,2,1.9000,37.00,1.58,12.62,1.13,,,,
dian,1,4,2,5,4,1.7500,4,1.7500,4,1.7500,4,1.8000,10.40,1.06,8.88,0.99,,,,
dikir,1,5,2,5,1,2.2000,1,2.1500,1,2.2000,1,2.2000,24.40,1.40,7.01,0.90,,,,
dil,1,3,1,3,5,1.7000,3,1.8000,3,1.8500,3,1.8500,2.40,0.53,24.30,1.40,,,,
dim,1,3,1,3,4,1.7500,3,1.8500,3,1.8500,3,1.8500,0.00,0.00,0.47,0.17,,,,
dina,1,4,2,4,4,1.7500,5,1.7500,5,1.7500,1,1.9500,9.20,1.01,5.14,0.79,,,,
dinding,1,7,2,6,0,2.4500,0,2.4500,0,2.4500,0,2.4500,24.00,1.40,7.94,0.95,,,,
dingin,1,6,2,5,0,2.6000,0,2.4000,0,2.3500,0,2.3500,60.60,1.79,22.43,1.37,,,,
dinihari,2,8,4,8,0,3.9500,0,4.1000,0,4.1500,0,4.2000,12.80,1.14,2.80,0.58,,,,
diraja,2,6,3,6,0,2.7500,0,2.7500,0,2.7500,0,2.9000,45.40,1.67,58.88,1.78,,,,
diri,1,4,2,4,6,1.6500,6,1.6500,6,1.6500,6,1.6500,"1,357.40",3.13,794.86,2.90,559.0909,1.0000,508.5714,0.9545
doa,1,3,2,3,4,1.7500,3,1.8000,3,1.8000,3,1.8500,58.80,1.78,17.76,1.27,,,,
dobi,1,4,2,4,0,2.0000,0,2.0000,0,2.0000,0,2.0000,2.20,0.51,0.47,0.17,,,,
dodoi,1,5,2,4,1,2.7000,0,2.3000,0,2.2500,0,2.2500,0.20,0.08,3.74,0.68,,,,
dodol,1,5,2,5,1,2.4500,0,2.4500,0,2.2500,0,2.2500,5.00,0.78,7.01,0.90,,,,
dogan,1,5,2,5,0,2.0000,0,2.0000,0,2.0000,0,2.0000,0.20,0.08,0.47,0.17,,,,
dok,1,3,1,3,6,1.7000,7,1.6500,8,1.5500,8,1.5500,0.80,0.26,0.93,0.29,,,,
dokong,1,6,2,5,1,2.0500,1,1.9500,1,1.8500,1,1.8500,0.20,0.08,12.62,1.13,,,,
dol,1,3,1,3,6,1.7000,7,1.6500,7,1.6500,7,1.6500,4.60,0.75,1.87,0.46,,,,
dondang,1,7,2,6,2,1.9500,3,1.8500,3,1.8500,3,1.8500,1.40,0.38,3.74,0.68,731.6286,0.7955,545.6512,0.9773
dong,1,4,1,3,9,1.5500,12,1.4000,13,1.3000,13,1.3000,4.60,0.75,31.31,1.51,,,,
dongeng,1,7,2,5,0,2.8500,0,2.7000,0,2.3500,0,2.3500,13.40,1.16,7.48,0.93,614.8571,0.9545,525.8864,1.0000
dorongan,2,8,3,7,0,2.7500,0,2.7500,1,2.6500,1,2.6500,46.20,1.67,25.23,1.42,,,,
dosa,1,4,2,4,1,1.9000,1,1.9000,1,1.9000,1,1.9500,34.00,1.54,8.41,0.97,,,,
dua,1,3,2,4,5,1.5500,7,1.6500,7,1.6500,7,1.6500,"2,607.60",3.42,"2,612.15",3.42,,,,
dubur,1,5,2,5,3,1.8500,3,1.8500,3,1.8500,3,1.8500,4.60,0.75,0.47,0.17,,,,
duda,1,4,2,4,7,1.5500,8,1.5500,8,1.5500,8,1.6000,20.40,1.33,4.21,0.72,,,,
duduk,1,5,2,5,0,2.0000,0,2.0000,0,2.0000,0,2.0000,244.80,2.39,83.18,1.93,533.8140,0.9773,488.6905,0.9545
duga,1,4,2,4,4,1.7500,5,1.7500,5,1.7500,5,1.7500,17.00,1.26,2.80,0.58,,,,
dugaan,2,6,3,6,0,2.5000,0,2.4500,0,2.4500,0,2.7000,26.80,1.44,38.79,1.60,,,,
duit,1,4,2,5,1,1.9500,1,1.9500,1,2.1500,1,2.1500,124.20,2.10,28.50,1.47,,,,
duka,1,4,2,4,7,1.6000,8,1.6000,8,1.6000,8,1.6000,17.40,1.26,38.32,1.59,634.3421,0.8636,537.8837,0.9773
dukacita,2,8,4,8,0,4.0000,0,4.0000,0,4.1500,0,4.0000,2.20,0.51,4.67,0.75,,,,
dukun,1,5,2,5,1,1.9000,3,1.8500,2,1.9000,2,1.9000,7.80,0.94,0.93,0.29,,,,
dukung,1,6,2,5,1,1.9000,2,1.9000,1,1.8500,1,1.8500,2.00,0.48,0.47,0.17,,,,
dukungan,2,8,3,7,0,2.8000,0,2.6000,2,2.5000,2,2.5000,2.60,0.56,3.27,0.63,,,,
dulang,1,6,2,5,4,1.7500,4,1.7500,4,1.7500,4,1.7500,17.80,1.27,2.80,0.58,629.8205,0.8864,514.3902,0.9318
duli,1,4,2,4,4,1.7500,4,1.7500,4,1.7500,4,1.7500,1.60,0.41,3.74,0.68,,,,
dulu,1,4,2,4,5,1.7500,6,1.7000,6,1.7000,6,1.7000,390.80,2.59,342.52,2.54,,,,
dungu,1,5,2,4,0,1.9500,1,1.8500,1,1.9000,1,1.9000,2.20,0.51,2.80,0.58,,,,
dungun,1,6,2,5,0,2.6000,1,2.0000,1,2.2000,1,2.2000,0.40,0.15,6.07,0.85,,,,
dunia,1,5,3,6,0,2.0000,0,2.4500,0,2.4500,0,2.7000,"1,797.80",3.25,"2,171.03",3.34,,,,
duniawi,2,7,4,8,0,3.6500,0,3.8000,0,3.8000,0,3.8500,16.00,1.23,2.34,0.52,710.3571,0.9545,598.7857,0.9545
duri,1,4,2,4,9,1.5500,9,1.5500,9,1.5500,9,1.5500,13.40,1.16,5.61,0.82,539.2500,0.9091,508.7381,0.9545
dusta,1,5,2,5,1,1.9000,1,1.9000,1,1.9000,0,2.1000,4.00,0.70,1.40,0.38,601.5349,0.9773,507.2093,0.9773
duta,1,4,2,4,5,1.6500,6,1.6500,6,1.6500,6,1.6500,50.80,1.71,37.85,1.59,,,,
duyung,1,6,2,5,3,1.8500,3,1.8500,2,1.9000,2,1.9000,2.40,0.53,0.47,0.17,,,,
dwi,1,3,1,3,0,1.9500,0,1.9500,0,1.9500,0,1.9500,5.00,0.78,14.02,1.18,,,,
dwibahasa,2,9,4,9,0,4.1000,0,4.1000,0,4.1000,0,4.2500,10.60,1.06,2.34,0.52,,,,
dwiguna,1,7,3,7,0,3.8000,0,3.8000,0,3.8000,0,3.8500,0.00,0.00,0.47,0.17,,,,
dwimingguan,3,11,4,11,0,5.5000,0,5.7500,0,5.7500,0,5.8000,0.20,0.08,0.47,0.17,,,,
edar,1,4,2,4,0,1.9000,0,1.9500,0,1.9500,0,1.9500,2.60,0.56,22.43,1.37,628.5161,0.7045,491.8409,1.0000
edaran,2,6,3,6,0,2.0000,0,2.3000,0,2.3000,0,2.4500,15.80,1.23,28.04,1.46,,,,
ehwal,1,5,2,5,0,2.8000,0,2.6500,0,2.6000,0,2.6000,294.40,2.47,22.90,1.38,,,,
eja,1,3,2,3,3,1.7500,3,1.8000,3,1.8000,2,1.8500,4.00,0.70,15.42,1.22,,,,
ejaan,1,5,3,5,0,2.1000,0,2.5000,0,2.4500,0,2.7000,12.40,1.13,1.40,0.38,,,,
ejek,1,4,2,4,0,2.0000,0,2.2500,0,2.0000,0,2.0000,0.40,0.15,0.47,0.17,,,,
ejekan,2,6,3,6,0,2.5500,0,2.7000,0,2.6500,0,2.6500,4.40,0.73,6.54,0.88,,,,
eka,1,3,2,3,3,1.5500,3,1.6500,3,1.6500,0,1.9500,15.80,1.23,1.40,0.38,,,,
ekor,1,4,2,4,0,2.1000,0,2.2000,2,1.9000,2,1.9000,46.60,1.68,3.74,0.68,536.6279,0.9773,452.3182,1.0000
ekoran,2,6,3,6,0,2.7000,0,2.8000,1,2.6500,1,2.6500,144.80,2.16,30.84,1.50,,,,
ela,1,3,2,3,4,1.5000,4,1.5500,4,1.5500,2,1.7000,0.80,0.26,49.53,1.70,,,,
elak,1,4,2,4,4,1.5500,3,1.7500,3,1.7500,3,1.8000,46.80,1.68,7.94,0.95,,,,
elaun,1,5,2,4,0,2.0000,0,2.7500,0,2.7500,0,2.7500,16.40,1.24,15.89,1.23,,,,
elok,1,4,2,4,2,1.8500,2,1.8500,2,1.8500,2,1.8500,63.60,1.81,11.68,1.10,550.7857,0.9545,459.3810,0.9545
emak,1,4,2,4,3,1.7000,1,1.8000,1,1.8000,1,1.8000,47.60,1.69,6.07,0.85,,,,
emas,1,4,2,4,1,1.7500,1,1.7500,1,1.7500,1,1.7500,347.20,2.54,785.98,2.90,,,,
embun,1,5,2,5,0,2.2000,0,2.3500,0,2.3000,0,2.3000,7.40,0.92,146.26,2.17,,,,
empangan,2,8,3,7,0,2.8000,0,2.6000,0,2.6000,0,2.6000,2.60,0.56,2.80,0.58,,,,
empat,1,5,2,5,0,1.9000,0,1.9000,0,1.9000,0,1.9000,888.00,2.95,923.36,2.97,,,,
empuk,1,5,2,5,0,2.0000,0,2.2000,0,2.1500,0,2.1500,17.20,1.26,0.93,0.29,667.1190,0.9545,522.2619,0.9545
empunya,1,7,3,7,0,3.3000,0,3.5500,0,3.6000,0,3.7000,4.20,0.72,3.27,0.63,,,,
